date,time,T,Po,P,U,DD,Ff,VV,Td,RRR,sss,cloud_cov
27.12.2018,11:30,28.4,759.4,760.8,61.0,"Calm, no wind",0.0,10,20.2,0,0.0,50.0
27.12.2018,08:30,23.0,760.0,761.4,90.0,"Calm, no wind",0.0,4,21.2,0,0.0,50.0
27.12.2018,05:30,22.2,758.2,759.5,93.0,"Calm, no wind",0.0,2,21.0,0,0.0,25.0
27.12.2018,02:30,23.0,758.2,759.5,91.0,"Calm, no wind",0.0,4,21.5,0,0.0,25.0
26.12.2018,23:30,23.4,759.4,760.7,88.0,"Calm, no wind",0.0,4,21.3,0,0.0,5.0
26.12.2018,20:30,24.4,759.6,760.9,82.0,"Calm, no wind",0.0,4,21.1,0,0.0,40.0
26.12.2018,17:30,28.0,758.5,759.9,67.0,"Calm, no wind",0.0,10,21.4,0,0.0,40.0
26.12.2018,14:30,30.4,758.1,759.4,67.0,Wind blowing from the north-east,2.0,10,23.5,0,0.0,25.0
26.12.2018,11:30,28.6,760.0,761.3,61.0,"Calm, no wind",0.0,10,20.4,0,0.0,40.0
26.12.2018,08:30,24.0,759.8,761.2,87.0,Wind blowing from the south-west,2.0,10,21.6,0,0.0,50.0
26.12.2018,05:30,22.6,758.8,760.1,93.0,"Calm, no wind",0.0,4,21.4,0,0.0,50.0
26.12.2018,02:30,23.6,758.8,760.1,90.0,"Calm, no wind",0.0,4,21.9,0,0.0,50.0
25.12.2018,23:30,24.4,759.7,761.0,85.0,"Calm, no wind",0.0,4,21.7,0,0.0,50.0
25.12.2018,20:30,26.0,759.3,760.6,76.0,Wind blowing from the north-east,1.0,4,21.5,0,0.0,50.0
25.12.2018,17:30,26.8,758.2,759.5,72.0,Wind blowing from the east,1.0,4,21.4,0,0.0,75.0
25.12.2018,14:30,29.4,758.0,759.4,62.0,Wind blowing from the north-east,2.0,10,21.4,0,0.0,40.0
25.12.2018,11:30,28.4,760.3,761.7,66.0,Wind blowing from the north-west,2.0,10,21.5,0,0.0,40.0
25.12.2018,05:30,23.0,759.3,760.6,88.0,"Calm, no wind",0.0,2,20.9,0,0.0,50.0
25.12.2018,02:30,24.0,759.3,760.6,85.0,"Calm, no wind",0.0,4,21.3,0,0.0,50.0
24.12.2018,23:30,24.6,760.3,761.6,82.0,"Calm, no wind",0.0,4,21.3,0,0.0,50.0
24.12.2018,20:30,26.0,760.0,761.3,76.0,Wind blowing from the north-northeast,2.0,4,21.5,0,0.0,75.0
24.12.2018,17:30,27.0,758.3,759.7,70.0,Wind blowing from the north-northeast,3.0,10,21.0,0,0.0,40.0
24.12.2018,14:30,29.0,758.0,759.4,61.0,Wind blowing from the north-east,3.0,10,20.6,0,0.0,40.0
24.12.2018,11:30,29.0,760.3,761.6,61.0,Wind blowing from the north,5.0,4,20.6,0,0.0,60.0
24.12.2018,08:30,25.6,760.6,761.9,84.0,Wind blowing from the north-northwest,3.0,4,22.6,0,0.0,60.0
24.12.2018,05:30,24.0,759.0,760.3,90.0,"Calm, no wind",0.0,4,22.2,0,0.0,50.0
24.12.2018,02:30,24.8,759.2,760.6,88.0,"Calm, no wind",0.0,4,22.7,0,0.0,60.0
23.12.2018,23:30,25.8,760.0,761.4,84.0,"Calm, no wind",0.0,4,22.9,0,0.0,100.0
23.12.2018,20:30,26.2,759.7,761.0,79.0,Wind blowing from the north,1.0,4,22.3,0,0.0,75.0
23.12.2018,17:30,27.0,758.6,759.9,74.0,Wind blowing from the north,2.0,10,21.9,0,0.0,75.0
23.12.2018,14:30,28.0,758.8,760.0,74.0,Wind blowing from the north,2.0,10,23.0,0,0.0,100.0
23.12.2018,11:30,26.8,760.4,761.8,78.0,"Calm, no wind",0.0,4,22.7,0,0.0,95.0
23.12.2018,08:30,25.2,760.3,761.7,91.0,"Calm, no wind",0.0,4,23.7,22,0.0,95.0
23.12.2018,05:30,24.4,758.5,759.9,96.0,"Calm, no wind",0.0,4,23.8,0,0.0,100.0
23.12.2018,02:30,24.6,758.5,759.9,95.0,Wind blowing from the north-northwest,1.0,2,23.7,0,0.0,100.0
22.12.2018,23:30,26.6,759.6,760.9,80.0,Wind blowing from the north,4.0,4,22.8,0,0.0,100.0
22.12.2018,20:30,27.0,759.4,760.8,77.0,Wind blowing from the north,5.0,4,22.6,0,0.0,75.0
22.12.2018,17:30,28.0,758.3,759.7,72.0,"Calm, no wind",0.0,10,22.4,0,0.0,95.0
22.12.2018,14:30,29.0,758.2,759.6,70.0,Wind blowing from the north,2.0,10,22.9,0,0.0,95.0
