date,time,T,Po,P,U,DD,Ff,VV,Td,RRR,sss,cloud_cov
27.12.2018,11:30,27.2,761.0,761.7,19.0,Wind blowing from the north-east,3.0,2.0,1.5,0,0.0,25.0
27.12.2018,08:30,14.8,761.7,762.4,62.0,"Calm, no wind",0.0,2.0,7.6,0,0.0,25.0
27.12.2018,05:30,14.4,760.1,760.8,58.0,"Calm, no wind",0.0,2.0,6.1,0,0.0,0.0
27.12.2018,02:30,17.8,759.7,760.4,46.0,"Calm, no wind",0.0,2.0,6.0,0,0.0,0.0
26.12.2018,23:30,18.4,760.3,761.0,59.0,"Calm, no wind",0.0,2.0,10.2,0,0.0,0.0
26.12.2018,20:30,22.4,760.2,760.9,45.0,"Calm, no wind",0.0,2.0,9.9,0,0.0,0.0
26.12.2018,17:30,25.6,759.3,760.0,35.0,Wind blowing from the north,3.0,2.0,9.2,0,0.0,40.0
26.12.2018,14:30,28.4,759.0,759.7,28.0,Wind blowing from the north-west,3.0,2.0,8.3,0,0.0,25.0
26.12.2018,11:30,26.6,761.1,761.8,33.0,Wind blowing from the north,3.0,2.0,9.2,0,0.0,25.0
26.12.2018,08:30,20.6,760.5,761.2,49.0,Wind blowing from the north-northeast,2.0,2.0,9.4,0,0.0,50.0
26.12.2018,05:30,19.0,758.9,759.6,79.0,"Calm, no wind",0.0,2.0,15.3,0,0.0,0.0
26.12.2018,02:30,19.8,758.7,759.4,79.0,"Calm, no wind",0.0,2.0,16.1,0,0.0,0.0
25.12.2018,23:30,21.2,759.6,760.3,68.0,"Calm, no wind",0.0,2.0,15.1,0,0.0,40.0
25.12.2018,20:30,25.0,759.2,759.9,61.0,Wind blowing from the north-northwest,2.0,2.0,17.0,0,0.0,0.0
25.12.2018,17:30,28.6,757.7,758.4,51.0,Wind blowing from the north-west,3.0,2.0,17.6,0,0.0,0.0
25.12.2018,14:30,31.6,757.6,758.3,36.0,Wind blowing from the north-west,3.0,2.0,14.7,0,0.0,0.0
25.12.2018,11:30,29.4,760.2,760.9,51.0,"Calm, no wind",0.0,2.0,18.2,0,0.0,0.0
25.12.2018,08:30,21.0,760.3,761.0,86.0,"Calm, no wind",0.0,2.0,18.5,0,0.0,0.0
25.12.2018,05:30,21.0,759.0,759.7,80.0,"Calm, no wind",0.0,2.0,17.4,0,0.0,0.0
25.12.2018,02:30,22.4,759.2,759.9,79.0,"Calm, no wind",0.0,2.0,18.6,0,0.0,0.0
24.12.2018,23:30,24.0,759.6,760.3,68.0,"Calm, no wind",0.0,2.0,17.6,0,0.0,95.0
24.12.2018,20:30,26.2,759.4,760.1,58.0,"Calm, no wind",0.0,2.0,17.3,0,0.0,60.0
24.12.2018,17:30,29.0,757.8,758.5,52.0,Wind blowing from the west-northwest,3.0,2.0,18.1,0,0.0,60.0
24.12.2018,14:30,31.4,758.0,758.7,43.0,Wind blowing from the west,3.0,2.0,17.3,0,0.0,60.0
24.12.2018,11:30,31.8,759.9,760.6,41.0,"Calm, no wind",0.0,2.0,17.0,0,0.0,0.0
24.12.2018,08:30,21.0,760.0,760.7,82.0,"Calm, no wind",0.0,2.0,17.8,0,0.0,40.0
24.12.2018,05:30,20.0,758.4,759.1,80.0,"Calm, no wind",0.0,2.0,16.4,0,0.0,0.0
24.12.2018,02:30,21.0,758.9,759.6,75.0,"Calm, no wind",0.0,2.0,16.4,0,0.0,0.0
23.12.2018,23:30,21.8,759.8,760.5,74.0,"Calm, no wind",0.0,2.0,16.9,0,0.0,0.0
23.12.2018,20:30,24.6,759.6,760.3,59.0,"Calm, no wind",0.0,2.0,16.1,0,0.0,25.0
23.12.2018,17:30,28.6,758.4,759.1,48.0,Wind blowing from the north-west,3.0,2.0,16.4,0,0.0,0.0
23.12.2018,14:30,32.8,757.5,758.2,36.0,Wind blowing from the north-west,2.0,2.0,15.9,0,0.0,0.0
23.12.2018,11:30,30.8,759.9,760.6,37.0,"Calm, no wind",0.0,2.0,14.4,0,0.0,0.0
