date,time,T,Po,P,U,DD,Ff,VV,Td,RRR,sss,cloud_cov
26.12.2018,23:30,7.2,743.0,762.4,97.0,"Calm, no wind",0.0,1,6.8,0,0.0,0.0
26.12.2018,20:30,8.6,743.0,762.3,100.0,"Calm, no wind",0.0,1,8.6,0,0.0,0.0
26.12.2018,17:30,17.6,742.0,760.6,58.0,Wind blowing from the west-northwest,1.0,2,9.2,0,0.0,0.0
26.12.2018,14:30,20.6,741.8,760.2,38.0,Wind blowing from the west,3.0,2,5.8,0,0.0,0.0
26.12.2018,11:30,17.2,743.1,761.8,58.0,Wind blowing from the west-northwest,2.0,1,8.7,0,0.0,0.0
26.12.2018,08:30,7.0,743.3,762.7,97.0,,,1,6.6,0,0.0,
26.12.2018,05:30,5.0,742.9,762.4,100.0,Wind blowing from the west,1.0,1,5.0,0,0.0,0.0
26.12.2018,02:30,7.6,743.6,762.9,100.0,"Calm, no wind",0.0,1,7.6,0,0.0,0.0
25.12.2018,23:30,9.0,743.7,762.9,100.0,Wind blowing from the west,1.0,2,9.0,0,0.0,0.0
25.12.2018,20:30,11.0,743.6,762.7,97.0,Wind blowing from the west,1.0,1,10.6,0,0.0,0.0
25.12.2018,17:30,16.4,742.8,761.5,75.0,Wind blowing from the west,2.0,2,12.0,0,0.0,40.0
25.12.2018,14:30,19.4,742.9,761.4,52.0,Wind blowing from the west-northwest,7.0,2,9.2,0,0.0,0.0
25.12.2018,11:30,16.2,745.2,764.0,62.0,Wind blowing from the west,2.0,0.5,8.8,0,0.0,0.0
25.12.2018,08:30,,,764.5,,"Calm, no wind",0.0,0.2,7.4,0,0.0,5.0
25.12.2018,05:30,6.2,744.0,763.4,97.0,"Calm, no wind",0.0,0.5,5.8,0,0.0,0.0
24.12.2018,23:30,9.2,744.4,763.6,97.0,"Calm, no wind",0.0,0.5,8.8,0,0.0,0.0
24.12.2018,17:30,17.4,742.8,761.5,75.0,"Calm, no wind",0.0,1,12.8,0,0.0,40.0
24.12.2018,14:30,21.0,743.3,761.7,51.0,Wind blowing from the north-west,2.0,2,10.4,0,0.0,0.0
24.12.2018,11:30,17.6,745.5,764.2,67.0,Wind blowing from the north-west,1.0,1,11.4,0,0.0,0.0
24.12.2018,08:30,7.0,745.9,765.3,97.0,"Calm, no wind",0.0,0.5,6.6,0,0.0,0.0
24.12.2018,05:30,6.4,744.5,763.9,100.0,"Calm, no wind",0.0,0.5,6.4,0,0.0,25.0
24.12.2018,02:30,7.4,744.8,764.2,100.0,"Calm, no wind",0.0,0.5,7.4,0,0.0,25.0
23.12.2018,23:30,9.6,744.9,764.1,97.0,"Calm, no wind",0.0,0.5,9.2,0,0.0,25.0
23.12.2018,20:30,10.8,744.3,763.4,92.0,"Calm, no wind",0.0,0.5,9.6,0,0.0,25.0
23.12.2018,17:30,18.6,743.9,762.5,75.0,"Calm, no wind",0.0,0.5,14.1,0,0.0,25.0
23.12.2018,14:30,21.0,744.7,763.2,57.0,Wind blowing from the east-southeast,1.0,1,12.1,0,0.0,0.0
23.12.2018,11:30,18.4,745.8,764.5,63.0,Wind blowing from the east-southeast,2.0,1,11.1,0,0.0,0.0
23.12.2018,08:30,6.2,745.8,765.3,94.0,"Calm, no wind",0.0,0.5,5.3,0,0.0,0.0
23.12.2018,05:30,5.6,744.8,764.3,97.0,"Calm, no wind",0.0,0.5,5.1,0,0.0,0.0
